toa,toa_sub,Female,Gender - All,Male,Unspecified,cube,quarter
Non-permanent,46-Excepted Service - Executive,119.0,465.0,346.0,,Employment - September 2005,2005-09
Non-permanent,48-Excepted Service - Other,13882.0,29928.0,16025.0,21.0,Employment - September 2005,2005-09
Non-permanent,60-Senior Executive Service - Limited Term,27.0,117.0,90.0,,Employment - September 2005,2005-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Employment - September 2005,2005-09
Non-permanent,Non-permanent,40585.0,94376.0,53767.0,24.0,Employment - September 2005,2005-09
Unspecified,Unspecified,32.0,92.0,60.0,,Employment - September 2005,2005-09
Permanent,10-Competitive Service - Career,491883.0,1092913.0,601029.0,,Employment - September 2006,2006-09
Permanent,15-Competitive Service - Career-Conditional,57986.0,153399.0,95409.0,,Employment - September 2006,2006-09
Permanent,30-Excepted Service - Schedule A,13999.0,35132.0,21133.0,,Employment - September 2006,2006-09
Permanent,32-Excepted Service - Schedule B,13355.0,33373.0,20018.0,,Employment - September 2006,2006-09
Permanent,36-Excepted Service - Executive,,,,,Employment - September 2006,2006-09
Permanent,38-Excepted Service - Other,112931.0,286232.0,173285.0,16.0,Employment - September 2006,2006-09
Permanent,50-Senior Executive Service - Career,1803.0,6344.0,4541.0,,Employment - September 2006,2006-09
Permanent,55-Senior Executive Service - Non-Career,147.0,641.0,494.0,,Employment - September 2006,2006-09
Permanent,**-Unspecified,74.0,119.0,45.0,,Employment - September 2006,2006-09
Permanent,Permanent,692179.0,1608157.0,915957.0,21.0,Employment - September 2006,2006-09
Non-permanent,20-Competitive Service,10262.0,28212.0,17950.0,,Employment - September 2006,2006-09
Non-permanent,40-Excepted Service - Schedule A,9251.0,18704.0,9447.0,,Employment - September 2006,2006-09
Non-permanent,42-Excepted Service - Schedule B,3988.0,9193.0,5205.0,,Employment - September 2006,2006-09
Non-permanent,44-Excepted Service - Schedule C,730.0,1605.0,875.0,,Employment - September 2006,2006-09
Non-permanent,46-Excepted Service - Executive,122.0,528.0,406.0,,Employment - September 2006,2006-09
Non-permanent,48-Excepted Service - Other,15090.0,31611.0,16511.0,,Employment - September 2006,2006-09
Non-permanent,60-Senior Executive Service - Limited Term,28.0,113.0,85.0,,Employment - September 2006,2006-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Employment - September 2006,2006-09
Non-permanent,Non-permanent,39474.0,89972.0,50482.0,16.0,Employment - September 2006,2006-09
Unspecified,Unspecified,68.0,178.0,110.0,,Employment - September 2006,2006-09
Permanent,10-Competitive Service - Career,489441.0,1096286.0,606843.0,,Employment - September 2007,2007-09
Permanent,15-Competitive Service - Career-Conditional,59511.0,148022.0,88511.0,,Employment - September 2007,2007-09
Permanent,30-Excepted Service - Schedule A,14157.0,35326.0,21169.0,,Employment - September 2007,2007-09
Permanent,32-Excepted Service - Schedule B,14936.0,40112.0,25174.0,,Employment - September 2007,2007-09
Permanent,36-Excepted Service - Executive,,,,,Employment - September 2007,2007-09
Permanent,38-Excepted Service - Other,117422.0,291082.0,173643.0,17.0,Employment - September 2007,2007-09
Permanent,50-Senior Executive Service - Career,1902.0,6546.0,4644.0,,Employment - September 2007,2007-09
Permanent,55-Senior Executive Service - Non-Career,163.0,677.0,514.0,,Employment - September 2007,2007-09
Permanent,**-Unspecified,55.0,98.0,43.0,,Employment - September 2007,2007-09
Permanent,Permanent,697592.0,1618159.0,920546.0,21.0,Employment - September 2007,2007-09
Non-permanent,20-Competitive Service,10285.0,30040.0,19755.0,,Employment - September 2007,2007-09
Non-permanent,40-Excepted Service - Schedule A,7579.0,15504.0,7925.0,,Employment - September 2007,2007-09
Non-permanent,42-Excepted Service - Schedule B,4170.0,9348.0,5178.0,,Employment - September 2007,2007-09
Non-permanent,44-Excepted Service - Schedule C,770.0,1638.0,868.0,,Employment - September 2007,2007-09
Non-permanent,46-Excepted Service - Executive,118.0,520.0,402.0,,Employment - September 2007,2007-09
Non-permanent,48-Excepted Service - Other,17748.0,36190.0,18433.0,,Employment - September 2007,2007-09
Non-permanent,60-Senior Executive Service - Limited Term,31.0,121.0,90.0,,Employment - September 2007,2007-09
Non-permanent,65-Senior Executive Service - Limited Emergency,,,,,Employment - September 2007,2007-09
Non-permanent,Non-permanent,40704.0,93368.0,52655.0,,Employment - September 2007,2007-09
Unspecified,Unspecified,69.0,173.0,104.0,,Employment - September 2007,2007-09
Permanent,10-Competitive Service - Career,492396.0,1107709.0,615313.0,,Employment - September 2008,2008-09
Permanent,15-Competitive Service - Career-Conditional,66687.0,159786.0,93098.0,,Employment - September 2008,2008-09
Permanent,30-Excepted Service - Schedule A,15175.0,37139.0,21964.0,,Employment - September 2008,2008-09
Permanent,32-Excepted Service - Schedule B,20211.0,52925.0,32713.0,,Employment - September 2008,2008-09
Permanent,36-Excepted Service - Executive,,17.0,,,Employment - September 2008,2008-09
Permanent,38-Excepted Service - Other,128779.0,308159.0,179369.0,,Employment - September 2008,2008-09
Permanent,50-Senior Executive Service - Career,2003.0,6849.0,4846.0,,Employment - September 2008,2008-09
Permanent,55-Senior Executive Service - Non-Career,156.0,630.0,474.0,,Employment - September 2008,2008-09
Permanent,**-Unspecified,13.0,35.0,22.0,,Employment - September 2008,2008-09
Permanent,Permanent,725428.0,1673249.0,947808.0,13.0,Employment - September 2008,2008-09
Non-permanent,20-Competitive Service,11620.0,34570.0,22950.0,,Employment - September 2008,2008-09
Non-permanent,40-Excepted Service - Schedule A,8258.0,18392.0,10134.0,,Employment - September 2008,2008-09
Non-permanent,42-Excepted Service - Schedule B,5552.0,12067.0,6515.0,,Employment - September 2008,2008-09
Non-permanent,44-Excepted Service - Schedule C,682.0,1508.0,826.0,,Employment - September 2008,2008-09
